ID,Img URL,Img Name,Desc (S),caption_original,is_arabic,caption_en,caption_train
922,65.jpg,65.jpg,"تُظهر الصورة في قسمها العلوي رجلين: أحدهما نحيل بملامح متعبة ويجلس على فراش، والآخر يظهر بوجه يبكي. في القسم السفلي، تظهر خلفية زرقاء داكنة تحمل نصًا أبيض يسأل: ""المختطفان الإسرائيليان يسألان: ماذا فعلتم من أجلنا اليوم؟"".","تُظهر الصورة في قسمها العلوي رجلين: أحدهما نحيل بملامح متعبة ويجلس على فراش، والآخر يظهر بوجه يبكي. في القسم السفلي، تظهر خلفية زرقاء داكنة تحمل نصًا أبيض يسأل: ""المختطفان الإسرائيليان يسألان: ماذا فعلتم من أجلنا اليوم؟"".",True,"The picture in the upper section shows two men: one skinny with tires and sitting on a bed, and the other with a crying face. In the lower section, there is a dark blue background with a white text asking: ""The Israeli kidnappers are asking: What have you done for us today?""","The picture in the upper section shows two men: one skinny with tires and sitting on a bed, and the other with a crying face. In the lower section, there is a dark blue background with a white text asking: ""The Israeli kidnappers are asking: What have you done for us today?"""
923,66.jpg,66.jpg,تعرض الصورة رسماً بيانياً يوضح المساعدات الإنسانية الدولية للفرد، حيث يمثل عدد من سيقان القمح مستويات المساعدة. تُظهر سيقان قمح كبيرة مبلغ 917 دولارًا للفلسطينيين، وتليها سيقان أصغر لمبالغ تتراوح بين 57 و 84 دولارًا لليمنيين والأفغان والسودانيين والكونغوليين.,تعرض الصورة رسماً بيانياً يوضح المساعدات الإنسانية الدولية للفرد، حيث يمثل عدد من سيقان القمح مستويات المساعدة. تُظهر سيقان قمح كبيرة مبلغ 917 دولارًا للفلسطينيين، وتليها سيقان أصغر لمبالغ تتراوح بين 57 و 84 دولارًا لليمنيين والأفغان والسودانيين والكونغوليين.,True,"The picture presents a graph showing international humanitarian assistance per capita, with a number of wheat legs representing aid levels. Large wheat legs show $917 for Palestinians, followed by smaller legs for $57 to $84 for Yemenis, Afghans, Sudanese, and Congolese.","The picture presents a graph showing international humanitarian assistance per capita, with a number of wheat legs representing aid levels. Large wheat legs show $917 for Palestinians, followed by smaller legs for $57 to $84 for Yemenis, Afghans, Sudanese, and Congolese."
924,0.jpg,0.jpg,تُظهر الصورة من زاوية علوية ساحة تخزين واسعة في منطقة مفتوحة. تتكدس فيها مئات الأكياس الكبيرة، غالبها أبيض وأصفر، مرتبة في صفوف طويلة. في مقدمة المشهد، تظهر مركبتان كبيرتان مغطاتان بأقمشة فاتحة اللون. في الخلفية، تبدو أرض قاحلة مع بعض المباني وسور في الأفق.,تُظهر الصورة من زاوية علوية ساحة تخزين واسعة في منطقة مفتوحة. تتكدس فيها مئات الأكياس الكبيرة، غالبها أبيض وأصفر، مرتبة في صفوف طويلة. في مقدمة المشهد، تظهر مركبتان كبيرتان مغطاتان بأقمشة فاتحة اللون. في الخلفية، تبدو أرض قاحلة مع بعض المباني وسور في الأفق.,True,"The picture shows a high angle of a large storage yard in an open area. Hundreds of large bags, mostly white and yellow, are packed in long rows. At the front of the scene, two large vehicles are covered with light-coloured fabrics. In the background, it looks like barren ground with some buildings and a fence on the horizon.","The picture shows a high angle of a large storage yard in an open area. Hundreds of large bags, mostly white and yellow, are packed in long rows. At the front of the scene, two large vehicles are covered with light-coloured fabrics. In the background, it looks like barren ground with some buildings and a fence on the horizon."
925,11.jpg,11.jpg,"تُظهر الصورة واجهة مبنى حيث يغطّي باباً خشبياً مزخرفاً وواجهة الجدار المحاذية بقعٌ حمراء كثيفة من الطلاء المتدفق على الرصيف. بالقرب من الباب، تظهر لوحة مثبتة على الجدار عليها نص ""EL AL GENOCIDE AIRLINE"" وكتابات جرافيتي يدوية أخرى منها ""Free Palestine"" و""Palestine VIVA"".","تُظهر الصورة واجهة مبنى حيث يغطّي باباً خشبياً مزخرفاً وواجهة الجدار المحاذية بقعٌ حمراء كثيفة من الطلاء المتدفق على الرصيف. بالقرب من الباب، تظهر لوحة مثبتة على الجدار عليها نص ""EL AL GENOCIDE AIRLINE"" وكتابات جرافيتي يدوية أخرى منها ""Free Palestine"" و""Palestine VIVA"".",True,"The picture shows a building facade, where a decorated wooden door and an adjacent wall facade cover dense red stains of paint flowing on the pavement. Near the door, a painting on the wall with the text ""EL AL GENOCIDE AIRLINE"" and other handicraft writings, including ""Free Palestine"" and ""Palestine VIVA.""","The picture shows a building facade, where a decorated wooden door and an adjacent wall facade cover dense red stains of paint flowing on the pavement. Near the door, a painting on the wall with the text ""EL AL GENOCIDE AIRLINE"" and other handicraft writings, including ""Free Palestine"" and ""Palestine VIVA."""
926,12.jpg,12.jpg,مصور يلتقط صوراً لطفل يبكي جاثياً على الأرض، بينما يمد أشخاص أوعية فارغة من فتحة في مبنى.,مصور يلتقط صوراً لطفل يبكي جاثياً على الأرض، بينما يمد أشخاص أوعية فارغة من فتحة في مبنى.,True,"A photographer takes pictures of a child crying on the floor, while people provide empty vessels from a hole in a building.","A photographer takes pictures of a child crying on the floor, while people provide empty vessels from a hole in a building."
927,13.jpg,13.jpg,يظهر رجلان ببدلات رسمية يقفان خلف منصتين للخطابة، وخلفهما أعلام إسرائيل وإستونيا.,يظهر رجلان ببدلات رسمية يقفان خلف منصتين للخطابة، وخلفهما أعلام إسرائيل وإستونيا.,True,"Two men in uniform appear behind two platforms, the flags of Israel and Estonia.","Two men in uniform appear behind two platforms, the flags of Israel and Estonia."
928,14.jpg,14.jpg,تُظهر الصورة حشوداً من الناس، يضمون رجالاً ونساءً وأطفالاً، يقفون ويجلسون داخل ما يبدو كهيكل مؤقت، ويحملون أواني وأوعية فارغة. يظهر مصور وهو يلتقط صوراً لهم، بينما تبدو على وجوه بعضهم علامات الترقب أو الحزن.,تُظهر الصورة حشوداً من الناس، يضمون رجالاً ونساءً وأطفالاً، يقفون ويجلسون داخل ما يبدو كهيكل مؤقت، ويحملون أواني وأوعية فارغة. يظهر مصور وهو يلتقط صوراً لهم، بينما تبدو على وجوه بعضهم علامات الترقب أو الحزن.,True,"The picture shows crowds of people, including men, women, and children, standing and sitting inside what appears to be a temporary structure, carrying empty vessels and vessels. A photographer appears taking pictures of them, while some appear on their faces as signs of anticipation or sadness.","The picture shows crowds of people, including men, women, and children, standing and sitting inside what appears to be a temporary structure, carrying empty vessels and vessels. A photographer appears taking pictures of them, while some appear on their faces as signs of anticipation or sadness."
929,15.jpg,15.jpg,يظهر رجل يرتدي بدلة سوداء وربطة عنق حمراء ونظارات، يتحدث في مكان يشبه قاعة اجتماعات، وعلى سترته دبوس شريطي أصفر. تظهر نصوص مكتوبة بيضاء على شريط أسود عريض في الجزء السفلي من الصورة.,يظهر رجل يرتدي بدلة سوداء وربطة عنق حمراء ونظارات، يتحدث في مكان يشبه قاعة اجتماعات، وعلى سترته دبوس شريطي أصفر. تظهر نصوص مكتوبة بيضاء على شريط أسود عريض في الجزء السفلي من الصورة.,True,"A man in a black suit and a red tie and glasses, speaking in a place that looks like a conference room, with a yellow ribbon jacket on his jacket, shows white scripts on a broad black bar in the bottom of the picture.","A man in a black suit and a red tie and glasses, speaking in a place that looks like a conference room, with a yellow ribbon jacket on his jacket, shows white scripts on a broad black bar in the bottom of the picture."
930,16.jpg,16.jpg,تتكون الصورة من رسم كاريكاتوري مقسم إلى جزأين. يصور الجزء الأيسر رجلين ببدلات يقدمان هدية لرجل ملثم يرتدي زيًا عسكريًا ويحمل بندقية، بينما يظهر الجزء الأيمن رجلاً ملثمًا يحمل بندقية فوق أطفال ملقين وعلم إسرائيلي ممزق على أرض ملطخة بالدماء.,تتكون الصورة من رسم كاريكاتوري مقسم إلى جزأين. يصور الجزء الأيسر رجلين ببدلات يقدمان هدية لرجل ملثم يرتدي زيًا عسكريًا ويحمل بندقية، بينما يظهر الجزء الأيمن رجلاً ملثمًا يحمل بندقية فوق أطفال ملقين وعلم إسرائيلي ممزق على أرض ملطخة بالدماء.,True,"The picture consists of a two-part cartoon. The left part depicts two men in suits offering a gift to a masked man wearing a military uniform and carrying a gun, while the right part shows a masked man carrying a gun over the lying children and a torn Israeli flag on a blood-stained land.","The picture consists of a two-part cartoon. The left part depicts two men in suits offering a gift to a masked man wearing a military uniform and carrying a gun, while the right part shows a masked man carrying a gun over the lying children and a torn Israeli flag on a blood-stained land."
931,17.jpg,17.jpg,"تُظهر الصورة رجلين نحيلين للغاية؛ أحدهما يرتدي زيًا مخططًا وعليه نجمة صفراء مكتوب عليها ""Jude""، مع خلفية مبانٍ تشبه السجن والتاريخ 1945 في الجانب الأيسر. والآخر عاري الصدر ويرتدي شريطًا أصفر على ذراعه، مع خلفية نفق مظلم والتاريخ 2025 في الجانب الأيمن، ويضع الرجل الأول يده على صدر الثاني.","تُظهر الصورة رجلين نحيلين للغاية؛ أحدهما يرتدي زيًا مخططًا وعليه نجمة صفراء مكتوب عليها ""Jude""، مع خلفية مبانٍ تشبه السجن والتاريخ 1945 في الجانب الأيسر. والآخر عاري الصدر ويرتدي شريطًا أصفر على ذراعه، مع خلفية نفق مظلم والتاريخ 2025 في الجانب الأيمن، ويضع الرجل الأول يده على صدر الثاني.",True,"The picture shows two very skinny men; one wears a striped outfit with a yellow star with a ""Jude,"" with a prison-like background of 1945 on the left side. The other wears a bare chest and a yellow strip on his arm, with the back of a dark tunnel and 2025 on the right side, and the first man puts his hand on the second.","The picture shows two very skinny men; one wears a striped outfit with a yellow star with a ""Jude,"" with a prison-like background of 1945 on the left side. The other wears a bare chest and a yellow strip on his arm, with the back of a dark tunnel and 2025 on the right side, and the first man puts his hand on the second."
932,18.jpg,18.jpg,تظهر مجموعة من الرجال، بعضهم يرتدي زيًا عسكريًا مع سترات واقية وخوذات، وآخرون يرتدون سترات واقية فوق ملابس مدنية، في منطقة ترابية مع خيمة في الخلفية.,تظهر مجموعة من الرجال، بعضهم يرتدي زيًا عسكريًا مع سترات واقية وخوذات، وآخرون يرتدون سترات واقية فوق ملابس مدنية، في منطقة ترابية مع خيمة في الخلفية.,True,"A group of men, some wearing uniforms with protective jackets and helmets, and others wearing protective jackets on civilian clothes, appear in a dirt area with a tent in the background.","A group of men, some wearing uniforms with protective jackets and helmets, and others wearing protective jackets on civilian clothes, appear in a dirt area with a tent in the background."
933,19.jpg,19.jpg,تُظهر الصورة رجلاً يرتدي بدلة داكنة وربطة عنق حمراء، ويضع شريطاً أصفر على سترته. خلفه يظهر جزء من علم يحمل نجمة داود الزرقاء على خلفية بيضاء، مع أرفف كتب مليئة بالكتب وإطار صورة في الخلفية.,تُظهر الصورة رجلاً يرتدي بدلة داكنة وربطة عنق حمراء، ويضع شريطاً أصفر على سترته. خلفه يظهر جزء من علم يحمل نجمة داود الزرقاء على خلفية بيضاء، مع أرفف كتب مليئة بالكتب وإطار صورة في الخلفية.,True,"The picture shows a man wearing a dark suit and a red tie, putting a yellow tape on his jacket, behind him showing a piece of science that carries David's blue star on a white background, with bookshelves full of books and a picture frame in the background.","The picture shows a man wearing a dark suit and a red tie, putting a yellow tape on his jacket, behind him showing a piece of science that carries a person's blue star on a white background, with bookshelves full of books and a picture frame in the background."
934,20.jpg,20.jpg,يظهر في مقدمة الصورة شخص ملثم يرتدي نظارات واقية ويحمل بندقية، وخلفه تمر شاحنة كبيرة محملة بحزم مغلفة مختلفة الألوان ويجلس شخص فوق الحمولة.,يظهر في مقدمة الصورة شخص ملثم يرتدي نظارات واقية ويحمل بندقية، وخلفه تمر شاحنة كبيرة محملة بحزم مغلفة مختلفة الألوان ويجلس شخص فوق الحمولة.,True,"The front of the picture shows a masked person wearing protective glasses and carrying a gun, and behind him a large truck with a package of different colors and a person sitting on the cargo.","The front of the picture shows a masked person wearing protective glasses and carrying a gun, and behind him a large truck with a package of different colors and a person sitting on the cargo."
935,21.jpg,21.jpg,تُظهر الصورة حشداً كبيراً من الناس، بينهم أطفال ونساء ورجال، يحملون حقائب وأمتعة شخصية. في المقدمة، تقف فتاتان صغيرتان تحملان حقائب ظهر بالقرب من حاجز معدني.,تُظهر الصورة حشداً كبيراً من الناس، بينهم أطفال ونساء ورجال، يحملون حقائب وأمتعة شخصية. في المقدمة، تقف فتاتان صغيرتان تحملان حقائب ظهر بالقرب من حاجز معدني.,True,"The picture shows a large crowd of people, including children, women and men, carrying bags and personal effects. In the front, two little girls with backpacks stand near a metal barrier.","The picture shows a large crowd of people, including children, women and men, carrying bags and personal effects. In the front, two little girls with backpacks stand near a metal barrier."
936,22.jpg,22.jpg,تظهر الصورة عدة شاحنات كبيرة محملة بصناديق مغلفة ومصفوفة في طابور تحت سماء صافية.,تظهر الصورة عدة شاحنات كبيرة محملة بصناديق مغلفة ومصفوفة في طابور تحت سماء صافية.,True,The picture shows several large trucks loaded with boxed boxes and matrixed in a row under a clear sky.,The picture shows several large trucks loaded with boxed boxes and matrixed in a row under a clear sky.
937,23.jpg,23.jpg,تُظهر الصورة مشاهد متعددة لأطعمة متنوعة، تشمل فواكه طازجة، خضروات، ومنتجات غذائية معلبة أو معبأة، مع وجود أشخاص في بعض المشاهد.,تُظهر الصورة مشاهد متعددة لأطعمة متنوعة، تشمل فواكه طازجة، خضروات، ومنتجات غذائية معلبة أو معبأة، مع وجود أشخاص في بعض المشاهد.,True,"The picture shows multiple scenes of various foods, including fresh fruit, vegetables, bottled or packed food products, with people in some scenes.","The picture shows multiple scenes of various foods, including fresh fruit, vegetables, bottled or packed food products, with people in some scenes."
938,24.jpg,24.jpg,تُظهر الصورة نصًا مكتوبًا باللغتين الإنجليزية واللاتفية على خلفية بلون بيج فاتح. تتناول النصوص قضايا تتعلق بالصراع بين غزة وإسرائيل، بما في ذلك الرهائن والمعاناة المدنية.,تُظهر الصورة نصًا مكتوبًا باللغتين الإنجليزية واللاتفية على خلفية بلون بيج فاتح. تتناول النصوص قضايا تتعلق بالصراع بين غزة وإسرائيل، بما في ذلك الرهائن والمعاناة المدنية.,True,"The picture shows a written text in English and Latvian against the backdrop of the Baj Fatih color. The texts address issues related to the conflict between Gaza and Israel, including hostages and civilian suffering.","The picture shows a written text in English and Latvian against the backdrop of the Baj Fatih color. The texts address issues related to the conflict between Gaza and Israel, including hostages and civilian suffering."
939,25.jpg,25.jpg,رجل يرتدي بدلة يتحدث أمام منصة خطاب، بينما تُعرض شاشة كبيرة خلفه تُظهر رجلاً نحيلاً عاري الصدر. يظهر علم إسرائيلي على الجانب الأيمن من الصورة.,رجل يرتدي بدلة يتحدث أمام منصة خطاب، بينما تُعرض شاشة كبيرة خلفه تُظهر رجلاً نحيلاً عاري الصدر. يظهر علم إسرائيلي على الجانب الأيمن من الصورة.,True,"A man in a suit speaking in front of a speech stand, while a big screen is shown behind him showing a skinny, naked man. An Israeli flag appears on the right side of the picture.","A man in a suit speaking in front of a speech stand, while a big screen is shown behind him showing a skinny, naked man. An Israeli flag appears on the right side of the picture."
940,26.jpg,26.jpg,"تُظهر الصورة شخصية ترتدي زيًا عسكريًا وقناعًا أخضر مع عصابة رأس مكتوب عليها ""حماس"" وتحمل بندقية، وهي تتلقى شهادة اعتراف من رجل يرتدي بدلة، بينما يراقب رجلان آخران ببدلات المشهد من الخلف.","تُظهر الصورة شخصية ترتدي زيًا عسكريًا وقناعًا أخضر مع عصابة رأس مكتوب عليها ""حماس"" وتحمل بندقية، وهي تتلقى شهادة اعتراف من رجل يرتدي بدلة، بينما يراقب رجلان آخران ببدلات المشهد من الخلف.",True,"The photograph shows a character wearing a uniform and a green mask with a headband with a gun on it, and she receives a confession certificate from a man in a suit, while two other men watch the scene suits from behind.","The photograph shows a character wearing a uniform and a green mask with a headband with a gun on it, and she receives a confession certificate from a man in a suit, while two other men watch the scene suits from behind."
941,27.jpg,27.jpg,مستودع كبير يعرض منصات نقّالة مكدّسة من البضائع المتنوعة المغلفة بالبلاستيك، والتي تشمل صناديق لمناديل الأطفال وملصقات صفراء عليها نصوص.,مستودع كبير يعرض منصات نقّالة مكدّسة من البضائع المتنوعة المغلفة بالبلاستيك، والتي تشمل صناديق لمناديل الأطفال وملصقات صفراء عليها نصوص.,True,"A large warehouse offers pods of plastic-coated miscellaneous goods, which include napkin boxes and yellow-texted posters.","A large warehouse offers pods of plastic-coated miscellaneous goods, which include napkin boxes and yellow-texted posters."
942,28.jpg,28.jpg,يظهر رجل يرتدي بدلة وربطة عنق، وعلى صدره شريط أصفر، يقف خلف منبر. وخلفه مباشرة تظهر ستائر زرقاء داكنة وإلى اليمين علم إسرائيل.,يظهر رجل يرتدي بدلة وربطة عنق، وعلى صدره شريط أصفر، يقف خلف منبر. وخلفه مباشرة تظهر ستائر زرقاء داكنة وإلى اليمين علم إسرائيل.,True,"A man in a suit and tie appears, with a yellow tape on his chest, standing behind a platform, and right behind him dark blue curtains and to the right is Israel's flag.","A man in a suit and tie appears, with a yellow tape on his chest, standing behind a platform, and right behind him dark blue curtains and to the right is Israel's flag."
943,31.jpg,31.jpg,تُظهر الصورة في جانبها الأيسر رجلًا نحيفًا يكتب بقلم على ورقة معلقة على حائط داكن. بينما يظهر في الجانب الأيمن رجلان يبتسمان ويحملان طبقًا مليئًا بالفاكهة المتنوعة أمام حائط فاتح.,تُظهر الصورة في جانبها الأيسر رجلًا نحيفًا يكتب بقلم على ورقة معلقة على حائط داكن. بينما يظهر في الجانب الأيمن رجلان يبتسمان ويحملان طبقًا مليئًا بالفاكهة المتنوعة أمام حائط فاتح.,True,"On its left side, the picture shows a skinny man writing with a pen on a leaf hanging on a dark wall, while on the right side, two men smile and carry a plate full of diverse fruit in front of a light wall.","On its left side, the picture shows a skinny man writing with a pen on a leaf hanging on a dark wall, while on the right side, two men smile and carry a plate full of diverse fruit in front of a light wall."
944,29.jpg,29.jpg,عمال يرتدون سترات برتقالية يقومون بنقل وتجميع أنابيب ضخمة في موقع خارجي. تُستخدم رافعة لتحميل الأنابيب من شاحنة، بينما تظهر شاحنات أخرى في الخلفية وشاحنة عليها علم فلسطين.,عمال يرتدون سترات برتقالية يقومون بنقل وتجميع أنابيب ضخمة في موقع خارجي. تُستخدم رافعة لتحميل الأنابيب من شاحنة، بينما تظهر شاحنات أخرى في الخلفية وشاحنة عليها علم فلسطين.,True,"Workers wearing orange jackets transport and assemble large pipes at an outside site. A crane is used to load pipes from a truck, while other trucks appear in the background and a truck with the flag of Palestine.","Workers wearing orange jackets transport and assemble large pipes at an outside site. A crane is used to load pipes from a truck, while other trucks appear in the background and a truck with the flag of Palestine."
945,30.jpg,30.jpg,"تُظهر الصورة لقطة شاشة لملف شخصي على منصة تواصل اجتماعي يحمل اسم ""نور عطاالله"". يتضمن الملف صورة شخصية لامرأة ترتدي الحجاب ومعلومات تشير إلى أنها طالبة ماجستير في ""سيونس بو ليل"" بفرنسا.","تُظهر الصورة لقطة شاشة لملف شخصي على منصة تواصل اجتماعي يحمل اسم ""نور عطاالله"". يتضمن الملف صورة شخصية لامرأة ترتدي الحجاب ومعلومات تشير إلى أنها طالبة ماجستير في ""سيونس بو ليل"" بفرنسا.",True,"The picture shows a screen footage of a personal file on a social communication platform called ""Noor Atallah."" The file contains a personal photograph of a woman wearing a veil and information indicating that she is a master's student in ""Seons Bo Lille"" in France.","The picture shows a screen footage of a personal file on a social communication platform called ""Noor Atallah."" The file contains a personal photograph of a woman wearing a veil and information indicating that she is a master's student in ""Seons Bo Lille"" in France."
946,70.jpg,70.jpg,يظهر رجل يرتدي نظارات وبدلة داكنة وقميصاً فاتحاً وهو يتحدث في ميكروفون. توجد شارة شريط أصفر اللون مثبتة على سترته.,يظهر رجل يرتدي نظارات وبدلة داكنة وقميصاً فاتحاً وهو يتحدث في ميكروفون. توجد شارة شريط أصفر اللون مثبتة على سترته.,True,A man with glasses and a dark suit and a light shirt appears to be speaking in a microphone. There's a yellow ribbon badge on his jacket.,A man with glasses and a dark suit and a light shirt appears to be speaking in a microphone. There's a yellow ribbon badge on his jacket.
947,71.jpg,71.jpg,تُظهر الصورة رجلاً يرتدي الثوب والغترة ويتحدث، مع نص مكتوب باللون الأحمر يغطي جزءاً كبيراً من الصورة ونص إضافي في الأسفل.,تُظهر الصورة رجلاً يرتدي الثوب والغترة ويتحدث، مع نص مكتوب باللون الأحمر يغطي جزءاً كبيراً من الصورة ونص إضافي في الأسفل.,True,"The picture shows a man wearing a dress and insomnia and speaking, with a red text that covers a large part of the picture and an extra text at the bottom.","The picture shows a man wearing a dress and insomnia and speaking, with a red text that covers a large part of the picture and an extra text at the bottom."
